"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Ashlyn Harris","ORL","2021","2258","-0.00","0.00","-0.00","0.04","0.09","0.00","0.13"
"","Ashlyn Harris","ORL","2020","300","0.00","-0.00","0.06","0.04","-0.00","0.00","0.10"
"","Ashlyn Harris","ORL","2018","2060","-0.00","-0.00","0.02","0.05","-0.03","0.01","0.05"
"","Ashlyn Harris","ORL","2017","1309","-0.01","0.00","-0.02","0.04","-0.01","0.00","0.01"
"","Ashlyn Harris","ORL","2019","1279","-0.02","-0.02","0.01","0.05","-0.01","-0.01","-0.00"
"","Ashlyn Harris","ORL","2016","1469","0.00","0.00","-0.02","0.06","-0.25","-0.01","-0.21"
"","Aubrey Bledsoe","WAS","2018","2042","0.00","-0.01","0.04","0.07","0.24","0.02","0.35"
"","Aubrey Bledsoe","WAS","2021","2925","-0.00","-0.01","0.01","0.06","0.18","0.00","0.24"
"","Aubrey Bledsoe","WAS","2019","2321","0.00","-0.00","0.02","0.08","0.14","-0.01","0.24"
"","Aubrey Bledsoe","WAS","2020","894","0.00","0.00","0.03","0.09","0.06","-0.00","0.18"
"","Aubrey Bledsoe","ORL","2017","1079","0.00","0.01","0.03","0.06","0.09","-0.02","0.17"
"","Aubrey Bledsoe","WAS","2022","637","0.00","-0.05","0.03","0.02","-0.02","0.01","-0.02"
"","Aubrey Bledsoe","ORL","2016","96","-0.01","0.00","0.03","0.09","-1.57","-0.01","-1.47"
"","Bella Bixby","POR","2020","399","0.00","-0.00","-0.02","0.05","0.25","0.01","0.30"
"","Bella Bixby","POR","2021","1681","-0.00","-0.00","0.01","0.04","0.03","0.00","0.07"
"","Bella Bixby","POR","2022","490","0.00","0.00","0.05","0.04","-0.01","-0.07","0.02"
"","Bianca Henninger","HOU","2016","493","0.01","-0.02","0.01","0.06","-0.18","-0.00","-0.12"
"","Britt Eckerstrom","POR","2020","605","0.00","0.00","-0.01","0.04","0.92","-0.06","0.89"
"","Britt Eckerstrom","WNY","2016","288","-0.05","0.00","0.03","-0.00","0.46","0.00","0.45"
"","Britt Eckerstrom","POR","2019","982","0.01","0.00","0.04","0.04","-0.05","0.01","0.06"
"","Britt Eckerstrom","POR","2018","970","-0.02","0.00","0.03","0.05","-0.09","0.03","-0.01"
"","Brittany Wilson","ORL","2020","98","0.00","0.01","0.01","0.08","-0.55","0.20","-0.25"
"","Carly Nelson","KC","2021","100","-0.07","0.01","0.00","0.09","0.00","-0.09","-0.07"
"","Carly Telford","SD","2022","197","-0.00","-0.00","0.04","0.05","-1.15","0.00","-1.05"
"","Caroline Casey","NJY","2017","192","-0.26","-0.00","0.04","0.05","0.60","0.00","0.44"
"","Caroline Casey","NJY","2016","952","0.00","-0.01","0.01","0.04","-0.16","-0.00","-0.12"
"","Caroline Casey","NJY","2018","99","0.00","-0.00","0.02","-0.07","-0.50","0.00","-0.54"
"","Caroline Stanley","ORL","2017","72","-0.13","-0.00","0.02","0.02","0.57","0.00","0.48"
"","Caroline Stanley","NJY","2016","1003","-0.01","0.00","-0.01","0.06","-0.48","-0.02","-0.46"
"","Casey Murphy","NC","2021","2575","0.00","0.00","-0.00","0.07","0.25","0.01","0.33"
"","Casey Murphy","RGN","2020","598","0.01","0.00","0.03","0.06","0.08","0.01","0.19"
"","Casey Murphy","RGN","2019","2003","-0.00","0.00","-0.00","0.04","0.00","0.00","0.04"
"","Cassie Miller","CHI","2020","52","0.00","-0.01","0.06","0.04","0.81","0.00","0.90"
"","Cassie Miller","KC","2022","199","0.00","0.00","0.04","0.07","0.29","0.01","0.42"
"","Cassie Miller","CHI","2021","1987","0.00","0.00","0.02","0.04","-0.18","-0.00","-0.12"
"","Devon Kerr","WAS","2022","49","0.00","-0.00","0.00","0.02","0.00","-0.01","0.01"
"","Dijana Haracic","WAS","2018","191","0.00","-0.00","0.03","0.06","1.36","-0.00","1.45"
"","Dijana Haracic","NJY","2019","490","0.00","-0.00","0.06","0.05","0.42","-0.04","0.48"
"","Dijana Haracic","NJY","2021","1238","0.00","-0.00","-0.00","0.06","0.24","0.01","0.31"
"","Dijana Haracic","LA","2022","687","-0.00","0.00","0.05","0.06","-0.20","0.00","-0.09"
"","Dijana Haracic","WAS","2017","686","-0.05","-0.03","0.02","0.05","-0.31","-0.06","-0.38"
"","Dijana Haracic","NJY","2020","51","0.00","-0.00","-0.02","0.06","-1.75","-0.88","-2.59"
"","Ella Dederick","RGN","2021","136","0.02","0.00","0.04","0.04","-0.01","0.02","0.11"
"","Emily Boyd","CHI","2020","48","-0.07","-0.00","0.04","-0.00","0.85","0.00","0.82"
"","Emily Boyd","CHI","2021","97","0.03","0.00","0.03","0.06","0.40","0.02","0.55"
"","Emily Boyd","CHI","2018","196","0.00","0.00","0.02","0.06","0.08","-0.01","0.16"
"","Emily Boyd","CHI","2019","986","0.00","-0.03","0.03","0.07","-0.03","-0.01","0.04"
"","Erin McLeod","ORL","2022","296","-0.01","0.00","-0.02","0.03","-0.23","-0.01","-0.24"
"","Erin McLeod","ORL","2021","534","0.00","-0.00","-0.01","0.05","-0.55","0.00","-0.50"
"","Haley Kopmeyer","ORL","2018","289","0.00","0.00","0.05","0.05","0.11","-0.00","0.21"
"","Haley Kopmeyer","RGN","2017","1941","-0.02","-0.00","-0.00","0.06","0.15","-0.01","0.17"
"","Haley Kopmeyer","ORL","2019","981","0.00","-0.06","-0.02","0.05","0.06","0.03","0.07"
"","Haley Kopmeyer","RGN","2016","1004","-0.01","-0.00","0.01","0.05","0.02","-0.00","0.06"
"","Hope Solo","RGN","2016","777","-0.04","-0.00","-0.05","0.06","-0.04","-0.00","-0.08"
"","Jami Kranich","BOS","2016","873","-0.00","0.00","-0.00","0.05","-0.86","-0.03","-0.84"
"","Jane Campbell","HOU","2021","1978","-0.00","-0.01","0.02","0.06","0.06","-0.01","0.11"
"","Jane Campbell","HOU","2017","1556","0.01","-0.00","0.01","0.06","-0.04","-0.01","0.02"
"","Jane Campbell","HOU","2018","2346","-0.01","0.00","0.01","0.07","-0.09","0.00","-0.00"
"","Jane Campbell","HOU","2019","2335","-0.02","-0.02","-0.00","0.07","-0.05","-0.01","-0.04"
"","Jane Campbell","HOU","2020","1105","0.00","0.00","-0.00","0.07","-0.23","-0.06","-0.22"
"","Jane Campbell","HOU","2022","587","-0.00","0.00","0.03","0.04","-0.65","-0.00","-0.59"
"","Jordyn Bloomer","LOU","2022","101","-0.00","-0.00","0.01","0.06","-0.08","-0.00","-0.02"
"","Kailen Sheridan","SD","2022","491","0.00","-0.00","0.05","0.10","0.54","0.00","0.69"
"","Kailen Sheridan","NJY","2020","948","0.01","0.01","0.05","0.13","0.29","0.00","0.49"
"","Kailen Sheridan","NJY","2021","1673","0.01","-0.00","-0.00","0.08","0.30","0.02","0.40"
"","Kailen Sheridan","NJY","2019","1849","0.00","0.01","0.04","0.09","0.25","0.00","0.38"
"","Kailen Sheridan","NJY","2018","2233","0.01","-0.02","0.02","0.08","0.10","-0.02","0.16"
"","Kailen Sheridan","NJY","2017","2138","-0.01","-0.05","-0.00","0.09","-0.01","-0.00","0.02"
"","Kaitlyn Savage","ORL","2016","390","0.00","-0.04","0.07","0.06","-0.58","0.00","-0.49"
"","Karen Bardsley","RGN","2021","671","-0.00","-0.00","0.00","0.05","0.63","-0.01","0.66"
"","Katelyn Rowland","NC","2017","1764","0.01","-0.00","0.03","0.05","0.07","0.02","0.17"
"","Katelyn Rowland","NC","2018","1843","-0.01","0.01","-0.00","0.07","-0.05","-0.00","0.02"
"","Katelyn Rowland","NC","2020","505","0.00","-0.00","-0.01","0.06","-0.31","-0.00","-0.27"
"","Katelyn Rowland","NC","2022","689","-0.01","-0.03","0.00","0.05","-0.31","0.02","-0.27"
"","Katelyn Rowland","NC, KC","2021","693","0.01","-0.00","0.02","0.05","-0.29","-0.07","-0.28"
"","Katelyn Rowland","WNY","2016","590","0.01","-0.01","0.01","0.06","-0.39","0.01","-0.31"
"","Katelyn Rowland","NC","2019","591","0.00","-0.00","0.01","0.07","-0.77","0.02","-0.67"
"","Katie Lund","LOU","2021","393","0.00","0.00","-0.04","0.05","0.08","-0.01","0.09"
"","Katie Lund","LOU","2022","588","0.00","0.00","-0.00","0.05","0.03","-0.01","0.07"
"","Kaylie Collins","ORL","2022","99","0.02","-0.11","0.04","0.01","-0.07","0.01","-0.10"
"","Kelsey Wys","WAS","2016","1447","-0.01","0.00","0.03","0.05","-0.19","0.00","-0.11"
"","Kelsey Wys","WAS","2018","96","0.00","0.01","-0.02","0.08","-0.21","-0.01","-0.16"
"","Lainey Burdett","ORL","2019","101","0.01","0.01","0.03","0.06","-1.51","0.00","-1.39"
"","Libby Stout","BOS","2016","935","0.01","-0.03","-0.02","0.06","-0.40","0.07","-0.32"
"","Lindsey Harris","HOU","2021","688","-0.01","-0.00","-0.02","0.04","-0.10","0.01","-0.09"
"","Lindsey Harris","HOU","2022","101","-0.15","-0.00","0.00","0.04","-0.46","0.00","-0.56"
"","Lydia Williams","RGN","2018","1680","0.00","-0.02","0.01","0.06","0.23","-0.01","0.26"
"","Lydia Williams","RGN, HOU","2017","1072","-0.00","-0.00","0.01","0.07","-0.20","-0.01","-0.14"
"","Lydia Williams","HOU","2016","1446","0.00","-0.01","-0.04","0.06","-0.34","0.00","-0.31"
"","Lydia Williams","RGN","2019","95","0.00","-0.00","0.08","0.06","-1.09","0.02","-0.93"
"","Madalyn Schiffel","RGN","2017","95","0.01","0.00","0.01","0.07","0.00","-0.32","-0.22"
"","Melissa Lowder","UTA","2020","97","0.02","-0.00","0.00","0.07","-0.89","0.04","-0.77"
"","Michele Dalton","CHI","2016","683","0.01","-0.00","-0.02","0.03","-0.15","0.03","-0.09"
"","Michele Dalton","CHI","2017","190","0.00","0.01","0.02","-0.08","-0.72","-0.00","-0.77"
"","Michelle Betos","NJY","2022","95","0.00","-0.00","0.13","0.05","1.01","0.03","1.22"
"","Michelle Betos","RGN","2019","390","0.01","-0.00","-0.03","0.06","0.69","0.00","0.73"
"","Michelle Betos","RGN","2018","773","0.00","-0.00","0.05","0.07","0.54","0.01","0.68"
"","Michelle Betos","RGN","2020","301","0.00","-0.01","0.03","0.04","0.16","0.03","0.25"
"","Michelle Betos","LOU","2021","2386","-0.00","-0.00","0.01","0.03","0.11","0.01","0.15"
"","Michelle Betos","POR","2016","1497","-0.00","-0.00","-0.01","0.07","-0.13","-0.01","-0.09"
"","Nicole Barnhart","UTA","2020","100","0.00","0.01","0.06","0.04","0.44","0.00","0.55"
"","Nicole Barnhart","UTA","2019","2337","0.00","-0.01","-0.01","0.05","0.04","-0.00","0.07"
"","Nicole Barnhart","UTA","2018","711","0.00","-0.00","0.02","0.06","-0.11","0.01","-0.01"
"","Nicole Barnhart","KC","2016","1942","-0.00","-0.03","-0.04","0.06","-0.02","-0.00","-0.03"
"","Nicole Barnhart","KC","2017","2339","-0.01","0.00","-0.01","0.04","-0.09","-0.00","-0.07"
"","Nicole Barnhart","KC","2021","724","-0.03","-0.00","0.01","0.03","-0.19","0.01","-0.18"
"","Phallon Tullis-Joyce","RGN","2021","7","0.00","0.00","0.00","-0.05","0.00","-0.05","-0.09"
"","Phallon Tullis-Joyce","RGN","2022","686","-0.00","-0.00","-0.02","0.02","-0.19","0.01","-0.19"
"","Sabrina D'Angelo","NC","2018","676","0.00","0.00","-0.02","0.05","0.04","0.06","0.14"
"","Sabrina D'Angelo","NC","2017","777","-0.01","-0.03","0.01","0.07","-0.18","-0.02","-0.16"
"","Sabrina D'Angelo","WNY","2016","1327","-0.01","0.00","-0.02","0.06","-0.36","0.00","-0.32"
"","Samantha Leshnak","NC","2019","196","0.01","0.00","-0.04","0.06","-0.15","-0.15","-0.26"
"","Sammy Jo Prudhomme","BOS","2017","484","-0.00","0.00","0.06","0.04","0.23","0.00","0.33"
"","Sarah Bouhaddi","RGN","2021","1938","0.01","-0.00","0.02","0.06","0.01","0.00","0.10"
"","Shae Yanez","WAS","2019","17","0.00","-0.00","0.27","0.05","1.34","0.00","1.66"
"","Stephanie Labbé","NC","2019","1786","-0.02","0.00","0.02","0.08","-0.01","-0.02","0.05"
"","Stephanie Labbé","WAS","2016","769","-0.00","0.00","-0.02","0.07","-0.09","0.01","-0.03"
"","Stephanie Labbé","WAS","2017","1654","-0.00","0.00","-0.00","0.09","-0.23","-0.01","-0.16"
"","Stephanie Labbé","NC","2020","396","0.00","-0.01","-0.03","0.07","-0.20","0.01","-0.16"
